libelle_zone,insee,libelle_de_base,libelle_de_dul,OAP,fonction,art_3,art_4,art_5,art_6_defaut,art_6_type,art_6_optionel,art_71,art_72,art_73,art_74,art_8,art_9,art_10_top,art_101,art_12,art_13,art_14
out,0,out,out,0,0,0,99,99,99,99,99,99,99,99,99,99,0,99,99,99,99,99
RNU,7,ZC,ZC,0,0,0,0,99,99,44,99,0,3,3,2,3,99,7,99,1,99,99
arguel,25027,U,U,0,0,0,0,99,3,99,99,3,3,3,2,99,99,5,7,1m60_2,0.2,99
arguel,25027,U,Ua,0,1,0,0,99,2-4,99,99,1,3,3,2,99,99,6,9,1m60_2,0.2,99
arguel,25027,U,Uap,1,0,0,0,99,3,99,99,3,3,3,2,99,99,5,7,1m60_2,0.2,99
arguel,25027,AU,1AUa,1,0,0,0,99,3,99,99,3,3,3,2,99,99,5,7,1m60_2,0.25,99
audeux,25030,U,U,0,0,1,2,99,4,30,99,0,4,4,2,99,99,5,6,99,99,99
audeux,25031,U,Ua,0,0,1,2,99,4,30,99,1,4,4,2,99,99,6,6,99,99,99
audeux,25031,U,Ug,0,0,1,2,99,4,30,99,0,4,4,2,99,99,5,6,99,99,99
audeux,25031,AU,2AU,0,0,1,1,99,4,99,99,0,4,4,2,99,99,5,6,99,99,99
besancon,25056,AU,1AUD,0,0,1,2,_225,4,99,99,3,1,1,99,99,0.35,1,3,1m45_2,0.5,99
besancon,25056,AU,1AUD1,1,1,1,2,_225,4,99,99,3,1,1,99,99,0.35,1,4,1m45_2,0.5,99
besancon,25056,AU,1AUDa,0,0,1,2,_225,4,99,99,3,1,1,99,99,0.35,1,2,1m45_2,0.5,99
besancon,25056,AU,1AUP,0,-1,1,2,_225,4,99,99,1,3,3,2,99,0.35,1,2,1m45_2,0.5,99
besancon,25056,U,1AU-Vaites,1,1,1,0,99,0,10,3,1,4,4,99,99,99,2,30,1,99,99
besancon,25056,U,UB1,0,0,1,0,99,0,10,4,1,99,4,2,99,99,1,6,1m45_2,99,99
besancon,25056,U,UB2,0,0,1,0,99,4,99,99,3,99,4,2,99,99,1,5,1m45_2,99,99
besancon,25056,U,UB3,0,0,1,0,99,4,99,99,3,99,4,2,99,0.35,1,4,1m45_2,0.5,99
besancon,25056,U,UB4,0,0,1,0,99,4,99,99,3,99,4,2,99,0.35,1,3,1m45_2,0.5,99
besancon,25056,U,UC,0,0,1,0,99,4,99,99,3,4,4,2,99,0.35,1,5,1m45_2,0.5,99
besancon,25056,U,UC-Schweit,0,0,1,0,99,1.5,99,99,3,2,2,2,99,99,1,6,1m65_2,0.5,99
besancon,25056,U,UCa,0,0,1,0,99,4,99,99,3,4,4,2,99,0.45,1,6,1m45_2,0.5,99
besancon,25056,U,Updv,1,0,1,0,99,1,1,4-place-Guyon,1,4,4,2,99,99,1,7,1,0.5,99
besancon,25056,U,UD,0,0,1,2,_225,4,99,99,3,3,3,2,99,0.35,1,3,1m45_2,0.5,99
besancon,25056,U,UD1,0,1,1,2,_225,4,99,99,3,3,3,2,99,0.35,1,4,1m45_2,0.5,99
besancon,25056,U,UDa,0,0,1,2,_225,4,99,99,3,3,3,2,99,0.35,1,2,1m45_2,0.5,99
besancon,25056,U,UDm,0,0,1,2,_225,4,99,99,3,3,3,2,99,0.5,1,4,1m45_2,0.5,99
besancon,25056,U,UE,0,0,1,2,_225,4,99,99,3,1,1,2,99,0.5,1,3,1m45_2,0.5,99
besancon,25056,U,UE1,0,1,1,2,_225,4,99,99,3,1,1,2,99,0.5,1,3,1m45_2,0.5,99
besancon,25056,U,UM,0,1,1,2,_225,0,10,2.5,1,1,1,99,99,99,7,0,1m45_2,99,99
besancon,25056,U,UP,0,-1,1,2,_225,4,99,99,1,3,3,2,99,0.35,1,2,1m45_2,0.5,99
besancon,25056,U,UP1,0,-1,1,2,_225,4-44,99,99,1,3,3,2,99,0.35,1,2,1m45_2,0.5,99
besancon,25056,U,UV,1,1,1,0,99,0,10,3,1,4,4,99,99,99,2,30,1,99,99
bonnay,25073,U,UA,0,0,1,1,99,99,30,99,0,3,3,2,99,99,6,9,1,99,99
bonnay,25073,U,UAa,0,1,1,1,99,99,30,99,0,3,3,2,99,99,6,9,1,99,99
bonnay,25073,U,UB,0,0,1,1,99,4,1,8-RD14,0,3,3,2,0,1,5,6,1,99,99
bonnay,25073,AU,1AU,1,0,1,1,99,4,99,99,3,3,3,2,0,1,5,9,1,99,99
bonnay,25073,AU,2AU,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
boussiere,25084,U,UA,0,1,1,1,99,5,30,99,1,3,3,2,99,1,6,9,2,99,99
